[08-Apr-2025 17:49:23 UTC] PHP Parse error:  syntax error, unexpected variable "$response" in C:\xampp\htdocs\wordpress1\wp-content\plugins\reetech-group\account.php on line 454
[09-Apr-2025 02:17:00 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:00 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:06 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:17:06 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:06 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:17:09 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:09 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:17:14 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:14 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:18 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:17:18 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:17:18 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:33:56 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:33:56 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:33:56 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:34:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:34:01 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:34:01 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:34:08 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:34:08 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:34:08 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:36:56 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:36:56 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:36:56 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:04 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:37:04 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:04 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:12 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:37:12 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:12 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:37:45 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:37:45 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:07 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:40:07 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:07 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:13 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:40:13 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:13 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:18 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:40:18 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:18 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:40:22 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:22 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:40:59 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:40:59 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:41:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:41:05 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:41:05 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:41:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:41:09 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:41:09 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:21 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:42:21 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:21 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:26 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:42:26 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:26 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:31 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:42:31 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:31 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:34 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:42:34 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:42:34 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:30 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:43:30 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:30 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:36 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:43:36 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:36 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:40 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:43:40 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:43:40 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:44:09 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:09 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:15 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:44:15 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:15 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:19 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:44:19 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:19 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:48 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:44:48 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:48 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:57 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:44:57 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:44:57 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:52:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>breadcrumb-navxt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress1\wp-includes\functions.php on line 6114
[09-Apr-2025 02:52:22 UTC] PHP Deprecated:  Required parameter $width follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
[09-Apr-2025 02:52:22 UTC] PHP Deprecated:  Required parameter $height follows optional parameter $attach_id in C:\xampp\htdocs\wordpress1\wp-content\themes\nanosoft\inc\functions-helpers.php on line 371
